National Provider Identifier,Gender,Provider Type,Count_HCPCS,Avg_Payout_Ratio,Avg_Allowance_Ratio,Avg_Final_amount_received,Avg_Excess_amount_claimed,Avg_Number of Medicare Beneficiaries,Avg_Number of Medicare Beneficiary/Day Services,Sum_Total_amount_claimed,Sum_Total_amount_paid,Sum_Total_amount_allowed,Fraud_Label,Min_Payout_Ratio,Max_Payout_Ratio,Min_Allowance_Ratio,Max_Allowance_Ratio
1003007477,F,Nurse Practitioner,3,0.374684939781825,0.46834792693456,3883.12341308594,3341.43326822917,67,69.6666666666667,18150,6500.62976074219,8125.70031738281,No,0.2895522,0.4830359,0.3619104,0.6038
1003007592,F,Physician Assistant,2,0.547274202108383,0.718351095914841,3348.93490600586,2168.11016845703,50.5,89,15073,8375.13018798828,10736.7796630859,No,0.5368598,0.5576886,0.7108396,0.7258626
1003007683,F,Emergency Medicine,4,0.132912117987871,0.181162048131227,82544.2005615234,78662.4427490234,141.25,151.75,380883,50706.2007446289,66233.2308349609,No,0.1054262,0.1491425,0.1496036,0.2193548
1003007741,F,Family Practice,4,0.40172029286623,0.540556281805038,1736.18743896484,1326.76504516602,14.75,19.5,11553,4608.25012207031,6245.93981933594,No,0.3762245,0.4322047,0.5389844,0.5434127
1003007816,F,Ophthalmology,12,0.567748787502448,0.732548681398233,5111.58494567871,3108.91630554199,71.25,81.25,141687.498046875,80348.4788208008,104380.502380371,No,0.2588454,0.773885,0.3312137,0.9941564
1003007824,M,Infectious Disease,3,0.471902032693227,0.59865465760231,1802.00858561198,1348.85994466146,16.3333333333333,28.3333333333333,10200,4793.97424316406,6153.42016601563,No,0.3815455,0.5602245,0.4769091,0.7002857
1003007980,M,Cardiology,29,0.515320200344612,0.669570483010391,6223.38566313119,4900.47532369351,40.6896551724138,50,306172.664770126,125694.479654312,164058.879192829,No,0.2276976,0.7933123,0.2846215,1
1003008095,F,Nurse Practitioner,7,0.402881630829402,0.536309842552458,14628.3355887277,10513.2870744978,141.857142857143,166.428571428571,164885,62486.6508789063,91291.9904785156,No,0.3483893,0.477,0.4456,0.62975
1003008111,F,Obstetrics/Gynecology,3,0.741127947966258,0.741127947966258,91.4032999674479,91.4032999674479,17,18.6666666666667,1643.42999267578,1369.22007751465,1369.22007751465,No,0.22625,0.9985824,0.22625,0.9985824
1003008244,F,Internal Medicine,2,0.236866131424904,0.296081617474556,6126.36840820313,5651.09497070313,18.5,25,16055,3802.26306152344,4752.81005859375,No,0.234877,0.2388553,0.2935887,0.2985745
1003008269,M,Anesthesiology,1,0.128220289945602,0.165290683507919,12167.630859375,11650.23046875,14,14,13957.23046875,1789.60009765625,2307,No,0.1282203,0.1282203,0.1652907,0.1652907
1003008327,M,General Surgery,1,0.221295952796936,0.335234522819519,4409.91015625,3764.66015625,19,19,5663.14013671875,1253.22998046875,1898.47998046875,No,0.221296,0.221296,0.3352345,0.3352345
1003008517,M,Diagnostic Radiology,8,0.341467993333936,0.431809619069099,4569.34013557434,4149.75414276123,55.5,63.375,48987.3126220703,12432.5919647217,15789.2797241211,No,0.196036,0.7994892,0.2450173,1
1003008574,M,Family Practice,5,0.529160225391388,0.669675588607788,4697.89006347656,3130.67797851563,43,43,53300,29810.5496826172,37646.6101074219,No,0.4832672,0.6130506,0.6183233,0.7745346
1003008590,F,Internal Medicine,5,0.275696504116058,0.34578959941864,44008.3796875,39618.790625,109.4,205.8,306296,86254.09765625,108202.04296875,No,0.2231179,0.2902397,0.2788973,0.3668736
1003008673,M,CRNA,4,0.146281126886606,0.187099535018206,32105.8681640625,30602.5623779297,35.75,38.75,148972,20548.5296630859,26561.7496337891,No,0.1312853,0.164736,0.168393,0.2120601
1003008913,F,Nurse Practitioner,2,0.223322048783302,0.30355741083622,6795.97998046875,6097.65991210938,35.5,36.5,17563,3971.03991699219,5367.67993164063,No,0.1820415,0.2646026,0.2728718,0.334243
1003009028,F,Physical Therapist,4,0.730810791254044,0.935913473367691,552.090850830078,144.409942626953,15.5,75.5,8289.18041992188,6080.81701660156,7711.54064941406,No,0.709083,0.7441967,0.8980537,1
1003009036,F,Physical Therapist,2,0.38379593193531,0.479751169681549,2082.16925048828,1758.93884277344,19,62.5,6750,2585.66149902344,3232.12231445313,No,0.3654218,0.40217,0.4567953,0.5027071
1003009176,F,Physician Assistant,2,0.221145898103714,0.276439622044563,35109.1088867188,32652.744140625,127,144.5,89865,19646.7802734375,24559.5092773438,No,0.2168696,0.2254222,0.2711014,0.2817778
1003009218,M,Family Practice,4,0.435464799404144,0.519357852637768,7160.517578125,5764.54028320313,66.5,130,51410,22767.9306640625,28351.8388671875,No,0.3994413,0.4606729,0.3994413,0.5758411
1003009283,F,Emergency Medicine,5,0.235678169131279,0.306637209653854,36054.81328125,32657.378515625,141,149,237881,57606.9370117188,74594.1042480469,No,0.2111516,0.2505535,0.2692154,0.3226912
